+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
+-----------------+-------------+----------------+------------------+
|      20000      |      2      |      0.05      |      3.1358      |
|      20000      |      2      |      0.1       |      2.5212      |
|      20000      |      2      |      0.15      |      2.1991      |
|      20000      |      2      |      0.2       |      1.5351      |
|      20000      |      2      |      0.25      |      1.4543      |
|      20000      |      2      |      0.3       |      1.0895      |
|      20000      |      2      |      0.35      |      0.9259      |
|      20000      |      2      |      0.4       |      0.8898      |
|      20000      |      2      |      0.45      |      0.6195      |
|      20000      |      2      |      0.5       |      0.5692      |
|      20000      |      2      |      0.55      |       0.46       |
|      20000      |      2      |      0.6       |      0.4871      |
|      20000      |      2      |      0.65      |      0.5738      |
|      20000      |      2      |      0.7       |      0.4542      |
|      20000      |      2      |      0.75      |      0.3592      |
|      20000      |      2      |      0.8       |      0.3436      |
|      20000      |      2      |      0.85      |      0.2948      |
|      20000      |      2      |      0.9       |      0.3382      |
|      20000      |      2      |      0.95      |      0.3544      |
|      20000      |      3      |      0.05      |      2.4368      |
|      20000      |      3      |      0.1       |      0.7127      |
|      20000      |      3      |      0.15      |      0.2198      |
|      20000      |      3      |      0.2       |      0.0928      |
|      20000      |      3      |      0.25      |      0.024       |
|      20000      |      3      |      0.3       |      0.0119      |
|      20000      |      3      |      0.35      |      0.0066      |
|      20000      |      3      |      0.4       |      0.0036      |
|      20000      |      3      |      0.45      |      0.0016      |
|      20000      |      3      |      0.5       |      0.0013      |
|      20000      |      3      |      0.55      |      0.0013      |
|      20000      |      3      |      0.6       |      0.0008      |
|      20000      |      3      |      0.65      |      0.0008      |
|      20000      |      3      |      0.7       |      0.0005      |
|      20000      |      3      |      0.75      |      0.0006      |
|      20000      |      3      |      0.8       |      0.0004      |
|      20000      |      3      |      0.85      |      0.0003      |
|      20000      |      3      |      0.9       |      0.0003      |
|      20000      |      3      |      0.95      |      0.0002      |
|      20000      |      4      |      0.05      |      0.9947      |
|      20000      |      4      |      0.1       |      0.0809      |
|      20000      |      4      |      0.15      |      0.0063      |
|      20000      |      4      |      0.2       |      0.0006      |
|      20000      |      4      |      0.25      |      0.0002      |
|      20000      |      4      |      0.3       |       0.0        |
|      20000      |      4      |      0.35      |       0.0        |
|      20000      |      4      |      0.4       |       0.0        |
|      20000      |      4      |      0.45      |       0.0        |
|      20000      |      4      |      0.5       |       0.0        |
|      20000      |      4      |      0.55      |       0.0        |
|      20000      |      4      |      0.6       |       0.0        |
|      20000      |      4      |      0.65      |       0.0        |
|      20000      |      4      |      0.7       |       0.0        |
|      20000      |      4      |      0.75      |       0.0        |
|      20000      |      4      |      0.8       |       0.0        |
|      20000      |      4      |      0.85      |       0.0        |
|      20000      |      4      |      0.9       |       0.0        |
|      20000      |      4      |      0.95      |       0.0        |
|      20000      |      5      |      0.05      |      0.239       |
|      20000      |      5      |      0.1       |      0.0107      |
|      20000      |      5      |      0.15      |      0.0003      |
|      20000      |      5      |      0.2       |       0.0        |
|      20000      |      5      |      0.25      |       0.0        |
|      20000      |      5      |      0.3       |       0.0        |
|      20000      |      5      |      0.35      |       0.0        |
|      20000      |      5      |      0.4       |       0.0        |
|      20000      |      5      |      0.45      |       0.0        |
|      20000      |      5      |      0.5       |       0.0        |
