+-----------------+-------------+----------------+------------------------+
| Количество эпох | Размер окна | Норма обучения |    Суммарная ошибка    |
+-----------------+-------------+----------------+------------------------+
|      20000      |      2      |      0,05      |   2,9744890267147364   |
|      20000      |      2      |      0,1       |    2,38799549667617    |
|      20000      |      2      |      0,15      |   1,9770634130364586   |
|      20000      |      2      |      0,2       |   1,5846775026849753   |
|      20000      |      2      |      0,25      |   1,296833965634526    |
|      20000      |      2      |      0,3       |   1,1812170972780496   |
|      20000      |      2      |      0,35      |   0,9474633224044409   |
|      20000      |      2      |      0,4       |   0,7634238020976886   |
|      20000      |      2      |      0,45      |   0,7770907424794784   |
|      20000      |      2      |      0,5       |   0,5454281606966921   |
|      20000      |      2      |      0,55      |   0,4308396698763431   |
|      20000      |      2      |      0,6       |   0,5378784093019409   |
|      20000      |      2      |      0,65      |   0,524138908037118    |
|      20000      |      2      |      0,7       |   0,3814014614812582   |
|      20000      |      2      |      0,75      |  0,47901216153592635   |
|      20000      |      2      |      0,8       |  0,35354923307713887   |
|      20000      |      2      |      0,85      |   0,3381017885864843   |
|      20000      |      2      |      0,9       |  0,38424204295775055   |
|      20000      |      2      |      0,95      |   0,3345218011435183   |
|      20000      |      2      |      1,0       |   0,2874574692466698   |
|      20000      |      3      |      0,05      |   2,130102575348682    |
|      20000      |      3      |      0,1       |   0,9639863628964199   |
|      20000      |      3      |      0,15      |   0,2453230965222787   |
|      20000      |      3      |      0,2       |   0,0837373217815359   |
|      20000      |      3      |      0,25      |  0,02662002393327959   |
|      20000      |      3      |      0,3       |  0,011871328136222738  |
|      20000      |      3      |      0,35      | 0,0068275057950592894  |
|      20000      |      3      |      0,4       |  0,004920665715109634  |
|      20000      |      3      |      0,45      | 0,0023206871572237922  |
|      20000      |      3      |      0,5       | 0,0016217486860131203  |
|      20000      |      3      |      0,55      | 0,0009543516960486251  |
|      20000      |      3      |      0,6       | 0,0011719222417742369  |
|      20000      |      3      |      0,65      | 0,0004680360420141803  |
|      20000      |      3      |      0,7       | 0,0006579666663627622  |
|      20000      |      3      |      0,75      | 0,00031999277221583095 |
|      20000      |      3      |      0,8       | 0,00042665638144328064 |
|      20000      |      3      |      0,85      |  0,000350735298612441  |
|      20000      |      3      |      0,9       | 0,00024747163759425536 |
|      20000      |      3      |      0,95      | 0,00020039920742006848 |
|      20000      |      3      |      1,0       |  0,000171566826185007  |
|      20000      |      4      |      0,05      |   1,2713312594565829   |
|      20000      |      4      |      0,1       |  0,06061205849967228   |
|      20000      |      4      |      0,15      | 0,0064711216862869845  |
|      20000      |      4      |      0,2       | 0,0002713447492676681  |
|      20000      |      4      |      0,25      | 0,0001351524381575188  |
|      20000      |      4      |      0,3       | 4,744949413020751e-05  |
|      20000      |      4      |      0,35      | 1,4228804416530127e-05 |
|      20000      |      4      |      0,4       | 4,521809873128863e-06  |
