+-----------------+-------------+----------------+------------------------+
| Количество эпох | Размер окна | Норма обучения |    Суммарная ошибка    |
+-----------------+-------------+----------------+------------------------+
|      20000      |      4      |      0.3       | 3.534898023842794e-05  |
|      20000      |      5      |      0.3       | 3.203712261938177e-07  |
|      20000      |      6      |      0.3       | 1.0647063965148397e-08 |
|      20000      |      7      |      0.3       | 4.551858978234027e-10  |
|      20000      |      8      |      0.3       | 1.6016700709651186e-09 |
|      20000      |      9      |      0.3       | 2.6489617817812297e-08 |
|      20000      |      10     |      0.3       | 3.187561877266705e-07  |
|      20000      |      11     |      0.3       | 0.00012394831173496892 |
|      20000      |      12     |      0.3       |  0.003947201065410102  |
|      20000      |      13     |      0.3       |  0.09946268801614805   |
|      20000      |      14     |      0.3       |   1.3376989687397383   |
|      20000      |      15     |      0.3       |   3.3487639873092006   |
|      20000      |      16     |      0.3       |   3.674232817213141    |
|      20000      |      17     |      0.3       |   3.666123933114814    |
|      20000      |      18     |      0.3       |   21.636774938520084   |
|      20000      |      19     |      0.3       |   1573.8251369187672   |
|      18000      |      4      |      0.3       | 0.00017980114749511757 |
|      18000      |      5      |      0.3       | 1.1002344329603088e-06 |
|      18000      |      6      |      0.3       | 4.063191362393269e-08  |
|      18000      |      7      |      0.3       | 1.921315572160447e-08  |
|      18000      |      8      |      0.3       | 2.2467892769194264e-08 |
|      18000      |      9      |      0.3       | 3.0565005391838586e-07 |
|      18000      |      10     |      0.3       | 6.694807720879748e-06  |
|      18000      |      11     |      0.3       | 0.0002345070714059414  |
|      18000      |      12     |      0.3       |  0.007002205422230818  |
|      18000      |      13     |      0.3       |  0.037084973265054305  |
|      18000      |      14     |      0.3       |   1.9705682857979765   |
|      18000      |      15     |      0.3       |   2.8963807293669057   |
|      18000      |      16     |      0.3       |    2.38423782541015    |
|      18000      |      17     |      0.3       |    3.67559746692097    |
|      18000      |      18     |      0.3       |   11.943513248619647   |
|      18000      |      19     |      0.3       |   14435.79943015002    |
|      16000      |      4      |      0.3       | 0.0006182998054395465  |
|      16000      |      5      |      0.3       | 6.197429190468159e-06  |
|      16000      |      6      |      0.3       | 8.420564124368202e-07  |
|      16000      |      7      |      0.3       | 1.5235592760285327e-07 |
|      16000      |      8      |      0.3       | 3.0011033009704286e-07 |
|      16000      |      9      |      0.3       | 2.378467404557078e-06  |
|      16000      |      10     |      0.3       | 2.5886394453176837e-05 |
|      16000      |      11     |      0.3       | 0.00040126079563248515 |
|      16000      |      12     |      0.3       |  0.013918087852553244  |
|      16000      |      13     |      0.3       |   0.154354708408936    |
|      16000      |      14     |      0.3       |   0.8232636777396716   |
|      16000      |      15     |      0.3       |   2.326482102377117    |
|      16000      |      16     |      0.3       |   2.234589571021511    |
|      16000      |      17     |      0.3       |   4.053757778061161    |
|      16000      |      18     |      0.3       |   14.977774281244871   |
|      16000      |      19     |      0.3       |   19439.245693424968   |
|      14000      |      4      |      0.3       | 0.0018537354015181837  |
|      14000      |      5      |      0.3       | 5.075121901845542e-05  |
|      14000      |      6      |      0.3       | 2.0593667269770253e-06 |
|      14000      |      7      |      0.3       | 2.310596758961467e-06  |
|      14000      |      8      |      0.3       | 7.461331099003909e-07  |
|      14000      |      9      |      0.3       | 1.4037675133072236e-05 |
|      14000      |      10     |      0.3       | 0.0002639388612248762  |
|      14000      |      11     |      0.3       |  0.00294117396813423   |
|      14000      |      12     |      0.3       |  0.009606588880062312  |
|      14000      |      13     |      0.3       |   0.4021180798557947   |
|      14000      |      14     |      0.3       |   1.1139716780033346   |
|      14000      |      15     |      0.3       |   2.592396955016188    |
|      14000      |      16     |      0.3       |   1.678835016032489    |
|      14000      |      17     |      0.3       |   4.046721687766491    |
|      14000      |      18     |      0.3       |   9.398261747578557    |
|      14000      |      19     |      0.3       |   15077.533022829204   |
|      12000      |      4      |      0.3       |  0.006834504947372951  |
|      12000      |      5      |      0.3       | 0.0001088703478433591  |
|      12000      |      6      |      0.3       | 2.5435631029672552e-05 |
|      12000      |      7      |      0.3       | 1.1491192768348963e-05 |
|      12000      |      8      |      0.3       | 2.961762895525833e-05  |
|      12000      |      9      |      0.3       | 5.3982277410398864e-05 |
|      12000      |      10     |      0.3       | 0.0014370799755684318  |
|      12000      |      11     |      0.3       |  0.016483327678825297  |
|      12000      |      12     |      0.3       |  0.14535936972106772   |
|      12000      |      13     |      0.3       |   0.5607684954468903   |
|      12000      |      14     |      0.3       |   1.4571303671628877   |
|      12000      |      15     |      0.3       |   1.5736040098165998   |
|      12000      |      16     |      0.3       |   3.4190663152515848   |
|      12000      |      17     |      0.3       |   3.0225560462799015   |
|      12000      |      18     |      0.3       |   17.200755954908548   |
|      12000      |      19     |      0.3       |   334314.1835288765    |
|      10000      |      4      |      0.3       |  0.014696134192937988  |
|      10000      |      5      |      0.3       |  0.002090264552686931  |
|      10000      |      6      |      0.3       | 0.00017345384143166467 |
|      10000      |      7      |      0.3       | 6.136241417212712e-05  |
|      10000      |      8      |      0.3       | 0.00026538542399149467 |
|      10000      |      9      |      0.3       | 0.0003294681030034684  |
|      10000      |      10     |      0.3       |  0.00466993096970389   |
|      10000      |      11     |      0.3       |  0.011427128870897129  |
|      10000      |      12     |      0.3       |  0.11503980033302058   |
|      10000      |      13     |      0.3       |   0.7951288883275786   |
|      10000      |      14     |      0.3       |   2.3432477565994123   |
|      10000      |      15     |      0.3       |   2.3931328451713463   |
|      10000      |      16     |      0.3       |   3.4452739145110236   |
|      10000      |      17     |      0.3       |   2.8895481763893884   |
|      10000      |      18     |      0.3       |   36.503941098725704   |
|      10000      |      19     |      0.3       |   23243.093068389844   |
|       8000      |      4      |      0.3       |  0.08414024422423566   |
|       8000      |      5      |      0.3       |  0.010490951201046884  |
|       8000      |      6      |      0.3       |  0.002137817990563058  |
|       8000      |      7      |      0.3       | 0.0015835402876820308  |
|       8000      |      8      |      0.3       | 0.0009680304149891173  |
|       8000      |      9      |      0.3       |  0.003984850751258754  |
|       8000      |      10     |      0.3       |  0.03676116506385164   |
|       8000      |      11     |      0.3       |  0.17574149965122576   |
|       8000      |      12     |      0.3       |   0.2749258323195072   |
|       8000      |      13     |      0.3       |   0.7489000368938751   |
|       8000      |      14     |      0.3       |   0.5558158157981583   |
|       8000      |      15     |      0.3       |   1.9493622938662145   |
|       8000      |      16     |      0.3       |   2.282602486962386    |
|       8000      |      17     |      0.3       |   2.457821570624985    |
|       8000      |      18     |      0.3       |   15.32547176288256    |
|       8000      |      19     |      0.3       |   6754.730117179468    |
|       6000      |      4      |      0.3       |  0.33244879978967795   |
|       6000      |      5      |      0.3       |  0.04721406794931278   |
|       6000      |      6      |      0.3       |  0.016542731245291667  |
|       6000      |      7      |      0.3       |  0.001627937869997359  |
|       6000      |      8      |      0.3       |   0.024018007904249    |
|       6000      |      9      |      0.3       |  0.01555092881812633   |
|       6000      |      10     |      0.3       |  0.22226795248285613   |
|       6000      |      11     |      0.3       |  0.15999607543301606   |
|       6000      |      12     |      0.3       |   0.5010931581205076   |
|       6000      |      13     |      0.3       |   1.740397531307643    |
|       6000      |      14     |      0.3       |   3.848404145337804    |
|       6000      |      15     |      0.3       |    2.53636737936712    |
|       6000      |      16     |      0.3       |   3.2514381354142814   |
|       6000      |      17     |      0.3       |   2.918333287271112    |
|       6000      |      18     |      0.3       |   16.865551670649296   |
|       6000      |      19     |      0.3       |   2022.0668423245697   |
|       4000      |      4      |      0.3       |   0.5772308071589155   |
|       4000      |      5      |      0.3       |  0.38529744188967624   |
|       4000      |      6      |      0.3       |  0.17962852245184413   |
|       4000      |      7      |      0.3       |  0.17273024210439133   |
|       4000      |      8      |      0.3       |  0.12042908227230958   |
|       4000      |      9      |      0.3       |  0.28901222939125804   |
|       4000      |      10     |      0.3       |  0.21291668519205972   |
|       4000      |      11     |      0.3       |   0.7211283395522232   |
|       4000      |      12     |      0.3       |   1.159978081843466    |
|       4000      |      13     |      0.3       |   2.3004375237928554   |
|       4000      |      14     |      0.3       |   2.4519500629640074   |
|       4000      |      15     |      0.3       |   3.6063191580385783   |
|       4000      |      16     |      0.3       |   4.529175807701243    |
|       4000      |      17     |      0.3       |   3.6356384085638895   |
|       4000      |      18     |      0.3       |   16.72423931236995    |
|       4000      |      19     |      0.3       |   325777.4846465881    |
|       2000      |      4      |      0.3       |   1.6278144976919082   |
|       2000      |      5      |      0.3       |   1.178615728954881    |
|       2000      |      6      |      0.3       |   0.5952585511487228   |
|       2000      |      7      |      0.3       |   1.5492899305060914   |
|       2000      |      8      |      0.3       |   1.2086697143525185   |
|       2000      |      9      |      0.3       |   1.2021422404577526   |
|       2000      |      10     |      0.3       |   2.8323980795097463   |
|       2000      |      11     |      0.3       |   0.7370388359276017   |
|       2000      |      12     |      0.3       |   2.898985532198966    |
|       2000      |      13     |      0.3       |   2.258304984962611    |
|       2000      |      14     |      0.3       |   2.945838798417854    |
|       2000      |      15     |      0.3       |   2.735675661829086    |
|       2000      |      16     |      0.3       |   3.2417685956164837   |
|       2000      |      17     |      0.3       |   3.946119176187129    |
|       2000      |      18     |      0.3       |   7.869722294462254    |
|       2000      |      19     |      0.3       |   37610.04341715953    |
+-----------------+-------------+----------------+------------------------+
